X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series,smooth,lon,lat
-12366784.96,5469693.444,1925.0,0.3264384551411425,1.0,0.31528384279475985,rock1,Strat_Series,1,1,2e-06,-111.09271944987425,44.027465028842975
-12312807.72,5430709.884,2059.0,0.3683903869919288,0.9693396232183956,0.3737991266375546,rock1,Strat_Series,1,1,2e-06,-110.60783365300837,43.775137528782885
-12240838.07,5385728.852,2764.0,0.424326293535593,0.9339622644254746,0.6816593886462882,rock1,Strat_Series,1,1,2e-06,-109.96131928713105,43.48266181324268
-12168868.42,5370735.175,2004.0,0.4802622000792573,0.9221698117566656,0.3497816593886463,rock1,Strat_Series,1,1,2e-06,-109.31480492125371,43.38485368890716
-12084903.83,5355741.498,1664.0,0.5455207564181731,0.9103773590878568,0.20131004366812227,rock1,Strat_Series,1,1,2e-06,-108.56053817603542,43.28688750157056
-12012934.18,5328752.879,1658.0,0.6014566629618373,0.889150943969403,0.19868995633187772,rock1,Strat_Series,1,1,2e-06,-107.9140238101581,43.110150144522905
-11925970.85,5292768.053,1887.0,0.6690458856356424,0.8608490566204683,0.2986899563318777,rock1,Strat_Series,1,1,2e-06,-107.1328189251888,42.873704200026815
-11851002.46,5247787.022,1791.0,0.7273124585141945,0.8254716986140416,0.25676855895196504,rock1,Strat_Series,1,1,2e-06,-106.45936641956048,42.57686803610284
-11800023.96,5202805.99,2185.0,0.7669337240300914,0.7900943398211203,0.42882096069868997,rock1,Strat_Series,1,1,2e-06,-106.00141876244561,42.278612140283336
-11749045.46,5145830.017,2142.0,0.8065549895459884,0.7452830193650487,0.4100436681222707,rock1,Strat_Series,1,1,2e-06,-105.54347110533074,41.898785346397204
-11716059.37,5076859.102,2151.0,0.8321922803690087,0.6910377364593322,0.41397379912663756,rock1,Strat_Series,1,1,2e-06,-105.2471520172273,41.4359546462563
-11671078.34,5013885.657,1893.0,0.8671522209872791,0.6415094339919429,0.30131004366812225,rock1,Strat_Series,1,1,2e-06,-104.84308054978291,41.01046693514833
-11641090.98,4944914.742,1474.0,0.8904588532475607,0.5872641510862264,0.1183406113537118,rock1,Strat_Series,1,1,2e-06,-104.57369951159897,40.541283602067686
-11587113.74,4863948.885,1464.0,0.9324107850983469,0.523584905730865,0.11397379912663755,rock1,Strat_Series,1,1,2e-06,-104.0888137147331,39.98628108921143
-11536135.24,4785981.764,1710.0,0.9720320506142438,0.4622641513811628,0.22139737991266376,rock1,Strat_Series,1,1,2e-06,-103.63086605761823,39.447537682750436
-11500150.42,4764990.616,1613.0,1.0,0.4457547174875314,0.17903930131004367,rock1,Strat_Series,1,1,2e-06,-103.30760891959534,39.301773032306976
-12782109.82,5383667.221,1829.0,0.0036416574045926,0.932340801859084,0.27336244541484717,rock2,Strat_Series,2,2,2e-06,-114.82364614600225,43.469222567206415
-12702455.91,5336811.98,1393.0,0.0655498876877388,0.8954893869741214,0.08296943231441048,rock2,Strat_Series,2,2,2e-06,-114.10810289807344,43.16297948783838
-12613430.95,5280585.691,1379.0,0.1347414405522237,0.8512676892694641,0.07685589519650655,rock2,Strat_Series,2,2,2e-06,-113.30837807571214,42.793451331062975
-12491607.32,5224359.401,1448.0,0.2294246185653145,0.8070459907783122,0.10698689956331878,rock2,Strat_Series,2,2,2e-06,-112.21401778775294,42.42170349974916
-12416638.94,5121277.87,2361.0,0.287691183671716,0.7259728774021977,0.5056768558951965,rock2,Strat_Series,2,2,2e-06,-111.54056537195613,41.73440911169419
-12383840.27,4971341.098,2330.0,0.3131828088203234,0.6080483491411197,0.49213973799126637,rock2,Strat_Series,2,2,2e-06,-111.2459299063582,40.72144375496966
-12369783.69,4863574.043,2493.0,0.3241077965784067,0.5232900943551575,0.5633187772925764,rock2,Strat_Series,2,2,2e-06,-111.11965749979372,39.98370104922307
-12313557.4,4727693.844,1573.0,0.3678077242942827,0.4164209911101149,0.1615720524017467,rock2,Strat_Series,2,2,2e-06,-110.61456814303035,39.04203031503664
-12262016.64,4671467.554,1456.0,0.4078659868334142,0.3721992926189631,0.11048034934497816,rock2,Strat_Series,2,2,2e-06,-110.151569618399,38.64864734475511
-12135507.49,4643354.409,2448.0,0.5061908222510991,0.3500884433733876,0.5436681222707423,rock2,Strat_Series,2,2,2e-06,-109.0151185881393,38.4511410200445
-12004312.81,4591813.644,2676.0,0.6081573228455286,0.3095518870785779,0.643231441048035,rock2,Strat_Series,2,2,2e-06,-107.83657672574762,38.087638797586635
-11915287.85,4563700.499,3493.0,0.6773488757100135,0.2874410378330017,1.0,rock2,Strat_Series,2,2,2e-06,-107.0368519033863,37.88859886008104
-11826262.9,4535587.354,2369.0,0.7465404208023451,0.2653301885874261,0.509170305676856,rock2,Strat_Series,2,2,2e-06,-106.23712717085655,37.68901941015064
-11755980.03,4493417.637,2339.0,0.8011653362763058,0.2321639151123096,0.4960698689956332,rock2,Strat_Series,2,2,2e-06,-105.6057654075287,37.388640773517494
-11685697.17,4390336.107,2340.0,0.8557902439781132,0.1510908025226895,0.4965065502183406,rock2,Strat_Series,2,2,2e-06,-104.97440373403236,36.649302102793875
-11629470.88,4310682.196,1819.0,0.8994901716939893,0.0884433961958092,0.2689956331877729,rock2,Strat_Series,2,2,2e-06,-104.46931437726901,36.07308336728847
-11568559.07,4259141.431,1600.0,0.9468317568144594,0.0479068399009987,0.17336244541484716,rock2,Strat_Series,2,2,2e-06,-103.92213427820516,35.69796804496245
-11512332.78,4221657.238,1203.0,0.9905316845303368,0.0184257078357293,0.0,rock2,Strat_Series,2,2,2e-06,-103.41704492144179,35.424042872870764
-12786795.34,4657410.982,2432.0,0.0,0.361143868389423,0.5366812227074236,rock3,Strat_Series,3,3,2e-06,-114.86573688830273,38.54996200180131
-12660286.19,4615241.265,1901.0,0.0983248354176849,0.3279775949143065,0.30480349344978164,rock3,Strat_Series,3,3,2e-06,-113.72928585804303,38.25309260889252
-12566575.71,4540272.879,2560.0,0.171158045686761,0.2690153307837675,0.5925764192139737,rock3,Strat_Series,3,3,2e-06,-112.88747029338127,37.722320083238536
-12491607.32,4409078.203,2281.0,0.2294246185653145,0.1658313681620767,0.4707423580786026,rock3,Strat_Series,3,3,2e-06,-112.21401778775294,36.78426200320015
-12430695.51,4301311.148,1533.0,0.2767662036857846,0.0810731133761152,0.14410480349344978,rock3,Strat_Series,3,3,2e-06,-111.66683768868909,36.005012803505075
-12369783.69,4235713.81,1417.0,0.3241077965784067,0.0294811320652694,0.09344978165938865,rock3,Strat_Series,3,3,2e-06,-111.11965749979372,35.526874510623664
-12318242.93,4198229.617,1505.0,0.3641660591175382,0.0,0.13187772925764193,rock3,Strat_Series,3,3,2e-06,-110.65665897516236,35.25236478998542
